product,platform,date,clicks,daily_spend,views,total_followers,today_followers,yesterday_followers,reach,daily_installs,impressions
exarta,linkedin,09/16/2024,NA,NA,NA,9985.0,1.0,4.0,NA,NA,NA
exarta,x,09/16/2024,NA,NA,NA,17000.0,0.0,1.0,NA,NA,NA
exarta,facebook,09/16/2024,NA,NA,NA,868.0,0.0,0.0,NA,NA,NA
exarta,meta,09/16/2024,NA,NA,NA,2941.0,0.0,0.0,NA,NA,NA
exarta,instagram,09/16/2024,NA,NA,NA,2941.0,0.0,0.0,NA,NA,NA
exarta,ppc,09/16/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
exarta,youtube,09/16/2024,NA,NA,NA,312.0,0.0,0.0,NA,NA,NA
odyssey,meta,09/16/2024,220.0,500.0,NA,NA,NA,NA,22166.0,NA,NA
odyssey,ppc,09/16/2024,0.0,3680.0,NA,NA,NA,NA,NA,NA,10.0
odyssey,shopify,09/16/2024,39.0,2784.0,NA,NA,NA,NA,NA,3.0,1407.0
odyssey,x,09/16/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
odyssey,youtube,09/16/2024,60.0,1635.0,7220.0,581.0,0.0,1.0,NA,NA,NA
odyssey,tiktok,09/16/2024,NA,NA,NA,46.0,0.0,0.0,NA,NA,NA
odyssey,facebook,09/16/2024,NA,NA,NA,165.0,0.0,1.0,NA,NA,NA
odyssey,instagram,09/16/2024,NA,NA,NA,282.0,0.0,0.0,NA,NA,NA
zeniva,linkedin,09/16/2024,NA,NA,NA,1558.0,0.0,0.0,NA,NA,NA
zeniva,meta,09/16/2024,157.0,500.0,NA,NA,NA,NA,16709.0,NA,NA
zeniva,ppc,09/16/2024,NA,NA,NA,NA,NA,NA,NA,NA,20.0
zeniva,shopify,09/16/2024,27.0,8352.0,NA,NA,NA,NA,NA,NA,1693.0
zeniva,x,09/16/2024,NA,NA,NA,6.0,0.0,0.0,NA,NA,NA
zeniva,youtube,09/16/2024,6.0,2000.0,12400.0,275.0,0.0,0.0,NA,NA,NA
zeniva,facebook,09/16/2024,NA,NA,NA,162.0,0.0,0.0,NA,NA,NA
zeniva,instagram,09/16/2024,NA,NA,NA,401.0,0.0,0.0,NA,NA,NA
zeniva,tiktok,09/16/2024,NA,NA,NA,14.0,0.0,0.0,NA,NA,NA
